season,team1,team2,toss_winner,toss_decision,team1_point,team1_home_advantage,winner
2008,CSK,KXIP,CSK,bat,53,-1,CSK
2008,CSK,KXIP,KXIP,field,53,1,CSK
2008,DC,KXIP,DC,bat,-186,-1,KXIP
2008,DC,KXIP,KXIP,field,-186,1,KXIP
2008,DC,KXIP,DC,bat,-186,1,KXIP
2008,DC,KXIP,KXIP,field,-186,-1,KXIP
2008,RCB,KXIP,KXIP,field,-377,1,KXIP
2008,RCB,KXIP,RCB,bat,-377,-1,KXIP
2008,CSK,MI,MI,field,227,1,CSK
2008,CSK,MI,MI,field,227,-1,MI
2008,RR,MI,MI,field,48,-1,MI
2008,KXIP,MI,MI,field,174,1,KXIP
2008,KXIP,MI,MI,field,174,-1,KXIP
2008,RCB,MI,MI,field,-203,1,MI
2008,KKR,MI,KKR,bat,-297,1,MI
2008,KKR,MI,MI,field,-297,-1,MI
2008,CSK,RCB,CSK,bat,430,-1,CSK
2008,RR,RCB,RCB,field,251,1,RR
2008,MI,RCB,MI,bat,203,1,RCB
2008,DC,RCB,RCB,field,191,1,DC
2008,DC,RCB,DC,bat,191,1,RCB
2008,KKR,RCB,KKR,bat,-94,1,KKR
2008,CSK,DC,CSK,bat,239,1,DC
2008,CSK,DC,DC,field,239,1,DC
2008,RR,DC,RR,bat,60,-1,DC
2008,RR,DC,DC,field,60,0,RR
2008,MI,DC,DC,field,12,0,DC
2008,MI,DC,DC,field,12,0,MI
2008,MI,DC,DC,field,12,-1,MI
2008,MI,DC,DC,field,12,-1,DC
2008,DC,DC,DC,bat,0,0,DC
2008,DC,DC,DC,field,0,0,DC
2008,RCB,DC,DC,field,-191,1,DC
2008,RCB,DC,DC,field,-191,1,RCB
2008,KKR,DC,KKR,bat,-285,-1,KKR
2008,KKR,DC,KKR,bat,-285,1,KKR
2008,CSK,RR,CSK,bat,179,-1,RR
2008,CSK,RR,RR,field,179,0,RR
2008,MI,RR,RR,field,-48,-1,RR
2008,DC,RR,RR,field,-60,1,RR
2008,DC,RR,RR,field,-60,-1,RR
2008,DC,RR,RR,field,-60,-1,RR
2008,KXIP,RR,KXIP,bat,126,-1,RR
2008,KXIP,RR,RR,field,126,1,KXIP
2008,RCB,RR,RR,field,-251,1,RR
2008,KKR,RR,RR,field,-345,1,RR
2008,RR,KKR,RR,bat,345,1,RR
2008,DC,KKR,DC,bat,285,-1,KKR
2008,KXIP,KKR,KXIP,bat,471,1,KXIP
2008,KXIP,KKR,KXIP,bat,471,-1,KKR
2008,RR,CSK,RR,bat,-179,-1,RR
2008,DC,CSK,CSK,field,-239,1,CSK
2008,DC,CSK,DC,bat,-239,1,CSK
2008,KXIP,CSK,KXIP,bat,-53,0,CSK
2008,RCB,CSK,RCB,bat,-430,-1,RCB
2008,KKR,CSK,KKR,bat,-524,-1,CSK
2008,KKR,CSK,KKR,bat,-524,1,CSK
2009,MI,CSK,CSK,field,-279,0,MI
2009,MI,CSK,MI,bat,-279,0,CSK
2009,RR,CSK,RR,bat,-206,0,CSK
2009,MI,KKR,MI,bat,197,0,MI
2009,MI,KKR,MI,bat,197,0,MI
2009,CSK,KKR,CSK,bat,476,0,KKR
2009,RR,KKR,KKR,field,270,0,RR
2009,RR,KKR,KKR,field,270,0,KKR
2009,MI,RCB,MI,bat,-295,0,RCB
2009,MI,RCB,MI,bat,-295,0,MI
2009,KKR,RCB,KKR,bat,-492,0,RCB
2009,KKR,RCB,RCB,field,-492,0,RCB
2009,CSK,RCB,CSK,bat,-16,0,CSK
2009,CSK,RCB,CSK,bat,-16,0,RCB
2009,CSK,RCB,RCB,field,-16,0,RCB
2009,RCB,RR,RCB,bat,222,0,RCB
2009,RCB,RR,RR,field,222,0,RR
2009,CSK,RR,RR,field,206,0,CSK
2009,RR,MI,RR,bat,73,0,RR
2010,KKR,DC,DC,field,-128,-1,KKR
2010,KKR,DC,KKR,bat,-128,1,KKR
2010,KKR,DC,KKR,bat,-128,1,KKR
2010,MI,DC,DC,field,272,-1,MI
2010,MI,DC,DC,field,272,0,MI
2010,MI,DC,MI,bat,272,0,MI
2010,MI,DC,MI,bat,272,0,MI
2010,KXIP,DC,DC,field,-57,1,DC
2010,KXIP,DC,DC,field,-57,1,DC
2010,RCB,DC,DC,field,-116,1,DC
2010,DC,DC,DC,bat,0,0,DC
2010,DC,DC,DC,bat,0,0,DC
2010,RR,DC,DC,field,-61,1,DC
2010,RR,DC,RR,bat,-61,0,RR
2010,CSK,DC,CSK,bat,338,0,DC
2010,CSK,DC,CSK,bat,338,1,DC
2010,CSK,DC,CSK,bat,338,-1,CSK
2010,KKR,MI,KKR,bat,-400,0,MI
2010,KXIP,MI,MI,field,-329,0,MI
2010,CSK,MI,MI,field,66,0,MI
2010,CSK,MI,CSK,bat,66,1,CSK
2010,CSK,MI,CSK,bat,66,-1,CSK
2010,KKR,KXIP,KKR,bat,-71,-1,KKR
2010,KKR,KXIP,KKR,bat,-71,1,KXIP
2010,MI,KXIP,MI,bat,329,-1,KXIP
2010,DC,KXIP,KXIP,field,57,0,DC
2010,DC,KXIP,DC,bat,57,1,KXIP
2010,RR,KXIP,KXIP,field,-4,-1,RR
2010,KKR,RCB,RCB,field,-12,-1,RCB
2010,MI,RCB,MI,bat,388,0,RCB
2010,MI,RCB,RCB,field,388,-1,MI
2010,MI,RCB,MI,bat,388,1,MI
2010,KXIP,RCB,KXIP,bat,59,-1,RCB
